date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:32:52	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Jul%202022%2012:02:48%20GMT	https://safeverse.space/robots.txt		(from )
17:32:52	36236/36236	---M-Z	200	added ('OK')	text/html	etag:%2228a0640-8d8c-5df5fc0dcaf35-gzip%22	https://safeverse.space/	C:/Users/sagen/OneDrive/Documents/Safeverse/safeverse.space/index.html	(from )
17:32:52	5301/5301	---M--	200	added ('OK')	image/png	etag:%222a81a8b-14b5-5da0343096700%22	https://safeverse.space/images/favicon.png	C:/Users/sagen/OneDrive/Documents/Safeverse/safeverse.space/images/favicon.png	(from https://safeverse.space/)
17:32:52	155845/155845	---M-Z	200	added ('OK')	text/css	etag:W/%22260c5-fByeBXPlzqi603M74vxjqoxo6o0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.2/dist/css/bootstrap.min.css	C:/Users/sagen/OneDrive/Documents/Safeverse/cdn.jsdelivr.net/npm/bootstrap@5.0.2/dist/css/bootstrap.min.css	(from https://safeverse.space/)
17:32:52	25955/25955	---M-Z	200	added ('OK')	text/css	etag:%222a81a97-6563-5dee2dbada372-gzip%22	https://safeverse.space/css/stylesheet.css	C:/Users/sagen/OneDrive/Documents/Safeverse/safeverse.space/css/stylesheet.css	(from https://safeverse.space/)
17:32:53	7626/7626	---M-Z	200	added ('OK')	text/css	etag:%222a81999-1dca-5da6a2209a800-gzip%22	https://safeverse.space/css/responsive.css	C:/Users/sagen/OneDrive/Documents/Safeverse/safeverse.space/css/responsive.css	(from https://safeverse.space/)
17:32:53	36236/36236	---M-Z	200	added ('OK')	text/html	etag:%2228a0640-8d8c-5df5fc0dcaf35-gzip%22	https://safeverse.space/index.html	C:/Users/sagen/OneDrive/Documents/Safeverse/safeverse.space/index-2.html	(from https://safeverse.space/)
17:32:53	13560/13560	---M--	200	added ('OK')	image/png	etag:%222a81a96-34f8-5da71743f0500%22	https://safeverse.space/images/logo.png	C:/Users/sagen/OneDrive/Documents/Safeverse/safeverse.space/images/logo.png	(from https://safeverse.space/)
17:32:54	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Jul%202022%2012:02:50%20GMT	https://safeverse.space/Pitchdeck.pdf	C:/Users/sagen/OneDrive/Documents/Safeverse/safeverse.space/Pitchdeck.pdf	(from https://safeverse.space/)
17:32:55	31186/31186	---M--	200	added ('OK')	image/png	etag:%222a81ad0-79d2-5da0042bb9c80%22	https://safeverse.space/images/vr_ar.png	C:/Users/sagen/OneDrive/Documents/Safeverse/safeverse.space/images/vr_ar.png	(from https://safeverse.space/)
17:32:56	1463/1463	---M--	200	added ('OK')	image/png	etag:%222a81a9b-5b7-5da67ea5cf300%22	https://safeverse.space/images/mouse.png	C:/Users/sagen/OneDrive/Documents/Safeverse/safeverse.space/images/mouse.png	(from https://safeverse.space/)
17:32:57	538/538	---M--	200	added ('OK')	image/png	etag:%222a81a0b-21a-5da67ea016580%22	https://safeverse.space/images/Arrow.png	C:/Users/sagen/OneDrive/Documents/Safeverse/safeverse.space/images/Arrow.png	(from https://safeverse.space/)
